Name,Description,Source
ag-antiguamet,Antigua and Barbuda Meteorological Services,
ai-metservice,Caribbean Meteorological Organization (Anguilla),
ar-smn,Servicio Meteorológico Nacional (Argentina),
au-bom,Bureau of Meteorology Water Division,
bb-barbadosmetservices,Meteorological Services (Barbados),
bf-anam,Direction de la Météorologie (Burkina Faso),
br-inmet,Instituto Nacional de Meteorología (Brazil),
br-inmet-global-broker,"Instituto Nacional de Meteorología (Brazil), Global Broker Service",
bs-metservice,Department of Meteorology (Bahamas),
by-belgidromet,Department of Hydrometeorology (Belarus),
bz-nms,National Meteorological Service (Belize),
ca-eccc-msc,Meteorological Service of Canada,
ca-eccc-msc-global-discovery-catalogue,"Meteorological Service of Canada, Global Discovery Catalogue Service",
cg-met,Direction de la Météorologie Nationale (Congo),
cl-meteochile,Dirección Meteorológica de Chile,
cm-meteocameroon,Direction de la Météorologie Nationale (Cameroon),
cn-cma,China Meteorological Administration,
cn-cma-global-broker,"China Meteorological Administration, Global Broker Service",
cn-cma-global-cache,"China Meteorological Administration, Global Cache Service",
cn-cma-global-discovery-catalogue,"China Meteorological Administration, Global Discovery Catalogue Service",
cn-cma-global-monitor,"China Meteorological Administration, Global Monitor Service",
cu-insmet,Instituto de Meteorología (Cuba),
cy-dom,Meteorological Service (Cyprus),
data-metoffice-noaa-global-cache,"Met Office (Exeter) (United Kingdom of Great Britain and Northern Ireland) and National Oceanic and Atmospheric Administration, National Weather Service (United States of America), Global Cache Service",
de-dwd,Deutscher Wetterdienst (Germany),
de-dwd-global-cache,"Deutscher Wetterdienst (Germany), Global Cache Service",
de-dwd-global-discovery-catalogue,"Deutscher Wetterdienst (Germany), Global Discovery Catalogue Service",
de-dwd-gts-to-wis2,"Deutscher Wetterdienst, GTS to WIS2 Gateway (Germany)",
dk-dmi-opendata,Danish Meteorological Institute (Denmark),
dm-dms,Dominica Meteorological Services,
dz-meteoalgerie,Office National de la Météorologie (Algeria),
eu-eumetnet-femdi,WIS Centre (other),
fr-meteofrance,Météo-France (Toulouse),
fr-meteofrance-global-broker,"Météo-France (Toulouse), Global Broker Service",
gd-metservice,CMO Member (Grenada),
gn-meteo-guinee-conakry,Direction Nationale de la Météorologie (Guinea),
gy-hydromet,Hydrometeorological Service (Guyana),
hk-hko,Hong Kong Observatory,
hk-hko-swic,"World Weather Information Service (WWIS) (Hong Kong, China)",
id-bmkg,"Agency for Meteorology,Climatology and Geophysics (Indonesia)",
il-ims,Israel Meteorological Service,
in-imd,India Meteorological Department,
int-ecmwf,European Centre for Medium-Range Weather Forecasts (ECMWF),
int-eumetsat,European Organization for the Exploitation of Meteorological Satellites (EUMETSAT),
io-wis2dev1-test,"Test WIS2 Node (for use in the WIS2 test environment, not for operations)",
ir-irimo,Islamic Republic of Iran Meteorological Organization,
it-meteoam,Servizio Meteorológico (Italy),
jm-msj,Meteorological Service (Jamaica),
jp-jma,Japan Meteorological Agency,
jp-jma-global-cache,"Japan Meteorological Agency, Global Cache Service",
jp-jma-gts-to-wis2,"Japan Meteorological Agency, GTS to WIS2 Gateway (Japan)",
ke-meteo,Kenya Meteorological Department,
kn-metservice,St Kitts and Nevis Meteorological Service,
kr-kma,Korea Meteorological Administration,
kr-kma-global-cache,"Korea Meteorological Administration, Global Cache Service",
ky-cinws,Caribbean Meteorological Organization (Cayman Islands),
kz-kazhydromet,National Meteorological and Hydrological Service (Almaty) (Kazakhstan),
lc-metservice,Saint Lucia Meteorological Service,
ly-lnmc,Libyan National Meteorological Centre,
ma-marocmeteo,Direction de la Météorologie Nationale (Morocco),
ma-meteomaroc-global-monitor,"Direction de la Météorologie Nationale (Morocco), Global Monitor Service",
ms-metservice,Caribbean Meteorological Organization (Montserrat),
my-metmalaysia,Malaysian Meteorological Department,
na-meteona,Namibia Meteorological Service,
ng-nimet,Nigerian Meteorological Agency,
nz-metservice,New Zealand National Meteorological Service,
pl-imgw,Institute of Meteorology and Water Management (Poland),
ru-aviamettelecom,Russian Federal Service for Hydrometeorology and Environmental Monitoring,
sa-ncm,National Center for Meteorology (Saudi Arabia),
se-smhi,Swedish Meteorological and Hydrological Institute,
sg-mss,Meteorological Services Division (Singapore),
sg-mss-asmc,ASEAN Specialized Meteorological Centre (ASMC) (Singapore),
sx-metservice,Meteorological Department Curaçao (Curaçao and Sint Maarten),
sz-swazimet,Eswatini Meteorological Service,
tc-metservice,Caribbean Meteorological Organization (Turks and Caicos Islands),
td-anam,Direction des Ressources en Eau et de la Météorologie (Chad),
tt-trin-met,Meteorological Service (Trinidad and Tobago),
uk-metoffice-nmc,Met Office (Exeter) (United Kingdom of Great Britain and Northern Ireland),
us-cimss,"National Environmental Satellite, Data, and Information Service (NESDIS) (United States of America)",
us-noaa-global-broker,"National Oceanic and Atmospheric Administration, National Weather Service (United States of America), Global Broker Service",
us-noaa-nws,"National Oceanic and Atmospheric Administration, National Weather Service (United States of America)",
us-noaa-synoptic,"National Oceanic and Atmospheric Administration, National Weather Service (United States of America)",
us-synoptic-uas,"National Oceanic and Atmospheric Administration, National Weather Service (United States of America)",
us-ucsd-scripps-ldl,WIS Centre (other)/University of California San Diego (United States of America),
uy-inumet,Dirección Nacional de Meteorología (Uruguay),
vc-metservice,CMO Member (St. Vincent and the Grenadines),
vg-metservice,Caribbean Meteorological Organization (British Virgin Islands),
za-weathersa,South African Weather Service,
zm-zmd,Zambia Meteorological Department,
zw-msd,Zimbabwe Meteorological Services Department,
